Model,Accuracy,Precision,Recall,F1 Score
CNN,0.98,0.98,0.98,0.98
SVM,0.9839400428265525,0.9839446803771803,0.9839400428265525,0.9835539875150041
KNN,0.9828693790149893,0.9831186547504456,0.9828693790149893,0.982512160424985
Random Forest,0.9823340471092077,0.9821505736900197,0.9823340471092077,0.982000760436861
